# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
130.12.180.19        # CRITICAL | Score: 93 | Virtualine Technologies | US
130.12.180.19        # CRITICAL | Score: 93 | Virtualine Technologies | US
130.12.180.19        # CRITICAL | Score: 93 | Virtualine Technologies | US
167.71.66.127        # CRITICAL | Score: 93 | DigitalOcean, LLC | NL
130.12.180.19        # CRITICAL | Score: 93 | Virtualine Technologies | US
3.151.241.153        # CRITICAL | Score: 93 | Amazon Technologies Inc. | US
3.151.241.153        # CRITICAL | Score: 93 | Amazon Technologies Inc. | US
176.65.132.45        # CRITICAL | Score: 93 | VMHeaven.io | DE
3.151.241.153        # CRITICAL | Score: 93 | Amazon Technologies Inc. | US
45.156.129.101       # CRITICAL | Score: 93 | INAP-CHI-1 | PT
3.151.241.153        # CRITICAL | Score: 93 | Amazon Technologies Inc. | US
45.156.87.91         # CRITICAL | Score: 93 | VMHeaven.io | NL
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
184.105.247.194      # CRITICAL | Score: 92 | The Shadowserver Foundation, I | US
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
184.105.247.194      # CRITICAL | Score: 92 | The Shadowserver Foundation, I | US
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
142.93.3.113         # CRITICAL | Score: 92 | DigitalOcean, LLC | US
142.93.3.113         # CRITICAL | Score: 92 | DigitalOcean, LLC | US
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
184.105.247.194      # CRITICAL | Score: 92 | The Shadowserver Foundation, I | US
118.193.44.169       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | HK
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
118.193.44.169       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | HK
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
150.107.36.236       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | HK
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
150.107.36.236       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | HK
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
82.147.85.136        # CRITICAL | Score: 92 | Siberian Telecommunications Lt | RU
204.76.203.18        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
66.240.192.138       # CRITICAL | Score: 92 | CariNet, Inc. | US
193.142.146.230      # CRITICAL | Score: 92 | ColocaTel Datacenter | DE
45.156.129.96        # CRITICAL | Score: 92 | INAP-CHI-1 | PT
130.12.180.19        # CRITICAL | Score: 92 | Virtualine Technologies | US
66.240.192.138       # CRITICAL | Score: 92 | CariNet, Inc. | US
185.177.72.46        # CRITICAL | Score: 92 | FBW NETWORKS SAS | FR
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
185.156.73.233       # CRITICAL | Score: 92 | TOV E-RISHENNYA | UA
204.76.203.18        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
45.156.129.96        # CRITICAL | Score: 92 | INAP-CHI-1 | PT
193.142.146.230      # CRITICAL | Score: 92 | ColocaTel Datacenter | DE
45.153.34.187        # CRITICAL | Score: 92 | VMHeaven.io | NL
45.148.10.121        # CRITICAL | Score: 92 | TECHOFF SRV LIMITED | NL
80.94.95.115         # CRITICAL | Score: 92 | UNMANAGED LTD | RO
204.76.203.30        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
45.142.193.221       # CRITICAL | Score: 92 | Limited Network LTD | RO
80.82.77.202         # CRITICAL | Score: 92 | FiberXpress BV | NL
185.156.73.233       # CRITICAL | Score: 92 | TOV E-RISHENNYA | UA
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
130.12.180.49        # CRITICAL | Score: 92 | Virtualine Technologies | US
204.76.203.18        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
80.82.77.202         # CRITICAL | Score: 92 | FiberXpress BV | NL
87.236.176.110       # CRITICAL | Score: 92 | Driftnet Ltd | GB
45.156.129.93        # CRITICAL | Score: 92 | INAP-CHI-1 | PT
193.142.146.230      # CRITICAL | Score: 92 | ColocaTel Datacenter | DE
45.148.10.121        # CRITICAL | Score: 92 | TECHOFF SRV LIMITED | NL
20.163.58.125        # CRITICAL | Score: 92 | Microsoft Corporation | US
118.193.59.142       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | DE
204.76.203.30        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
78.128.114.130       # CRITICAL | Score: 92 | Tamatiya EOOD | BG
94.102.49.155        # CRITICAL | Score: 92 | FiberXpress BV | NL
185.180.141.44       # CRITICAL | Score: 92 | ICG-1-ZEN-DFW | PT
45.156.129.100       # CRITICAL | Score: 92 | INAP-CHI-1 | PT
185.156.73.233       # CRITICAL | Score: 92 | TOV E-RISHENNYA | UA
49.88.156.34         # CRITICAL | Score: 92 | CHINANET jiangsu province netw | CN
45.156.129.100       # CRITICAL | Score: 92 | INAP-CHI-1 | PT
94.102.49.155        # CRITICAL | Score: 92 | FiberXpress BV | NL
204.76.203.18        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
204.76.203.30        # CRITICAL | Score: 92 | Intelligence Hosting LLC | NL
118.193.59.142       # CRITICAL | Score: 92 | UCLOUD INFORMATION TECHNOLOGY  | DE
78.128.114.130       # CRITICAL | Score: 92 | Tamatiya EOOD | BG
134.199.156.138      # CRITICAL | Score: 91 | DigitalOcean, LLC | AU
134.199.156.138      # CRITICAL | Score: 91 | DigitalOcean, LLC | AU
3.129.187.38         # CRITICAL | Score: 91 | Amazon Technologies Inc. | US
34.158.79.105        # CRITICAL | Score: 91 | Google LLC | NL
134.199.156.138      # CRITICAL | Score: 91 | DigitalOcean, LLC | AU
34.158.79.105        # CRITICAL | Score: 91 | Google LLC | NL
3.129.187.38         # CRITICAL | Score: 91 | Amazon Technologies Inc. | US
3.129.187.38         # CRITICAL | Score: 91 | Amazon Technologies Inc. | US
